Á¤¼±ÇØ¾ç°üÃøÁ¤º¸,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
ÇØ¿ª,Á¤¼±,Á¤Á¡,Á¤¼±-Á¤Á¡,À§µµ(¢ªN),°æµµ(¢ªE),°üÃøÀÏ½Ã(KST),°üÃø¼ö½É(m),¼ö¿Â(¡É),"¼ö¿Â
QC Flag",¿°ºÐ(psu),"¿°ºÐ
QC Flag",¿ëÁ¸»ê¼Ò(ml/L),"¿ëÁ¸»ê¼Ò
QC Flag",QC Level,"ÀÎ»ê¿°ÀÎ 
(ug-at/L)","¾ÆÁú»êÁú¼Ò
(ug-at/L)","Áú»êÁú¼Ò
(ug-at/L)","±Ô»ê±Ô¼Ò
(ug-at/L)",PH,Åõ¸íµµ(m),±â¾Ð(hPa),Á¶»ç¼±
µ¿ÇØ,107,01,107-01,38.203,128.623,2015-02-03 11:56,0,5.2859,1,34.0359,1,6.92,1,1,0.37,0.18,4.35,6.98,,14,1036,Å½±¸ 3
µ¿ÇØ,107,01,107-01,38.203,128.623,2015-02-03 11:56,10,5.2149,1,34.0369,1,6.94,1,1,,,,,,14,1036,Å½±¸ 3
µ¿ÇØ,107,01,107-01,38.203,128.623,2015-02-03 11:56,20,5.1341,1,34.0323,1,6.97,1,1,0.38,0.17,4.57,7.66,,14,1036,Å½±¸ 3
µ¿ÇØ,107,01,107-01,38.203,128.623,2015-02-03 11:56,30,5.0644,1,34.0291,1,6.98,1,1,,,,,,14,1036,Å½±¸ 3
µ¿ÇØ,107,02,107-02,38.21,128.712,2015-02-03 12:26,0,5.3591,1,34.0299,1,6.99,1,1,,,,,,11.3,1035,Å½±¸ 3
µ¿ÇØ,107,02,107-02,38.21,128.712,2015-02-03 12:26,10,5.2806,1,34.0338,1,6.96,1,1,,,,,,11.3,1035,Å½±¸ 3
µ¿ÇØ,107,02,107-02,38.21,128.712,2015-02-03 12:26,20,5.2167,1,34.0266,1,6.96,1,1,,,,,,11.3,1035,Å½±¸ 3
µ¿ÇØ,107,02,107-02,38.21,128.712,2015-02-03 12:26,30,5.1769,1,34.0223,1,6.98,1,1,,,,,,11.3,1035,Å½±¸ 3
µ¿ÇØ,107,02,107-02,38.21,128.712,2015-02-03 12:26,50,5.1435,1,34.0184,1,6.97,1,1,,,,,,11.3,1035,Å½±¸ 3
